iter	Passed	Remaining
0	0	1696
1	1	1428
2	2	1346
3	2	1305
4	3	1256
5	4	1217
6	4	1162
7	5	1122
8	5	1099
9	6	1076
10	6	1069
11	7	1064
12	7	1050
13	8	1054
14	8	1064
15	9	1060
16	10	1058
17	10	1052
18	11	1037
19	11	1033
20	12	1043
21	13	1054
22	13	1055
23	14	1057
24	14	1054
25	15	1058
26	16	1066
27	16	1073
28	17	1071
29	18	1069
30	18	1060
31	19	1053
32	19	1054
33	20	1053
34	20	1052
35	21	1052
36	22	1051
37	22	1051
38	23	1043
39	23	1037
40	24	1031
41	24	1024
42	24	1017
43	25	1013
44	25	1006
45	26	1001
46	26	1001
47	27	996
48	27	992
49	28	993
50	28	992
51	29	992
52	30	993
53	30	993
54	31	992
55	31	990
56	32	986
57	32	987
58	33	984
59	33	981
60	34	977
61	34	974
62	35	971
63	35	969
64	36	966
65	36	964
66	37	962
67	37	960
68	38	958
69	38	955
70	39	953
71	39	949
72	40	947
73	40	943
74	40	940
75	41	937
76	41	934
77	42	931
78	42	928
79	43	928
80	43	926
81	44	923
82	44	925
83	45	924
84	45	923
85	46	922
86	46	921
87	47	921
88	47	921
89	48	922
90	49	923
91	49	924
92	50	924
93	50	924
94	51	924
95	52	924
96	52	924
97	53	924
98	53	924
99	54	924
100	54	924
101	55	922
102	55	921
103	56	919
104	56	916
105	57	914
106	57	912
107	58	910
108	58	910
109	59	908
110	59	910
111	60	917
112	61	917
113	61	915
114	62	913
115	62	911
116	63	909
117	63	907
118	64	906
119	64	904
120	65	902
121	65	900
122	65	898
123	66	897
124	66	895
125	67	893
126	67	892
127	68	890
128	68	889
129	69	895
130	70	894
131	70	893
132	71	891
133	71	890
134	72	888
135	72	886
136	72	884
137	73	883
138	73	881
139	74	881
140	74	880
141	75	878
142	75	879
143	76	880
144	77	879
145	77	878
146	77	876
147	78	875
148	78	874
149	79	872
150	79	871
151	80	869
152	80	868
153	81	866
154	81	865
155	81	863
156	82	862
157	82	861
158	83	860
159	83	858
160	84	857
161	84	858
162	85	857
163	85	856
164	86	854
165	86	853
166	87	852
167	87	851
168	88	854
169	88	852
170	89	851
171	89	850
172	90	851
173	91	851
174	91	851
175	92	851
176	92	850
177	93	849
178	93	848
179	94	847
180	94	845
181	95	845
182	95	844
183	96	843
184	96	842
185	96	840
186	97	839
187	97	838
188	98	836
189	98	835
190	99	834
191	99	833
192	99	832
193	100	835
194	101	834
195	101	834
196	102	834
197	102	832
198	103	831
199	103	830
200	104	829
201	104	828
202	105	827
203	105	826
204	106	828
205	107	828
206	107	828
207	108	827
208	108	827
209	109	826
210	109	825
211	110	824
212	110	823
213	111	823
214	111	821
215	111	821
216	112	820
217	112	819
218	113	818
219	113	817
220	114	816
221	114	815
222	115	814
223	115	814
224	116	814
225	116	813
226	117	812
227	117	811
228	118	810
229	118	809
230	119	808
231	119	807
232	119	806
233	120	806
234	120	805
235	121	805
236	122	804
237	122	805
238	123	804
239	123	804
240	124	804
241	124	803
242	125	802
243	125	802
244	126	801
245	126	800
246	127	799
247	127	799
248	128	798
249	128	797
250	129	796
251	129	795
252	130	794
253	130	793
254	130	792
255	131	792
256	131	791
257	132	790
258	132	790
259	133	789
260	133	788
261	134	787
262	134	786
263	135	785
264	135	784
265	135	783
266	136	783
267	136	782
268	137	782
269	138	782
270	138	782
271	139	781
272	139	781
273	140	781
274	140	780
275	141	780
276	141	780
277	142	780
278	142	779
279	143	778
280	143	777
281	144	777
282	144	777
283	145	776
284	145	775
285	146	774
286	146	774
287	147	773
288	147	772
289	148	772
290	148	771
291	149	770
292	149	769
293	150	768
294	150	767
295	150	767
296	151	766
297	152	768
298	153	768
299	153	768
300	154	768
301	154	767
302	155	767
303	155	766
304	156	765
305	156	764
306	157	763
307	157	763
308	158	762
309	158	761
310	158	761
311	159	760
312	159	759
313	160	758
314	160	757
315	161	756
316	161	756
317	162	755
318	162	754
319	163	754
320	163	753
321	163	752
322	164	751
323	164	750
324	165	749
325	165	749
326	166	748
327	166	748
328	167	747
329	167	747
330	168	747
331	169	747
332	169	747
333	170	747
334	170	746
335	171	746
336	171	745
337	172	745
338	172	744
339	173	743
340	173	743
341	174	742
342	174	741
343	175	740
344	175	740
345	175	739
346	176	738
347	176	737
348	177	736
349	177	737
350	178	736
351	178	735
352	179	734
353	179	733
354	180	733
355	180	732
356	180	731
357	181	730
358	181	730
359	182	729
360	182	728
361	183	728
362	183	728
363	184	727
364	185	727
365	185	727
366	186	726
367	186	725
368	187	725
369	187	724
370	187	723
371	188	723
372	188	722
373	189	721
374	189	721
375	190	720
376	190	719
377	191	719
378	191	718
379	191	717
380	192	716
381	192	715
382	193	715
383	193	714
384	194	713
385	194	712
386	194	711
387	195	711
388	195	710
389	196	709
390	196	708
391	197	709
392	198	709
393	198	709
394	199	709
395	199	708
396	200	708
397	201	708
398	201	708
399	202	707
400	202	707
401	203	707
402	204	707
403	204	707
404	205	706
405	205	706
406	206	706
407	206	705
408	207	705
409	207	704
410	208	703
411	208	703
412	209	703
413	209	702
414	210	701
415	210	701
416	211	700
417	211	699
418	212	699
419	212	698
420	213	699
421	213	698
422	214	697
423	214	697
424	215	697
425	215	696
426	216	695
427	216	695
428	217	694
429	217	693
430	218	693
431	218	692
432	219	692
433	219	691
434	220	690
435	220	689
436	220	688
437	221	688
438	221	687
439	222	686
440	222	686
441	223	685
442	223	684
443	224	684
444	224	683
445	225	683
446	225	682
447	226	682
448	226	681
449	226	680
450	227	680
451	227	679
452	228	679
453	229	679
454	229	678
455	230	678
456	230	677
457	231	677
458	231	676
459	232	676
460	232	675
461	233	675
462	233	674
463	234	674
464	234	673
465	235	673
466	235	673
467	236	672
468	236	672
469	237	671
470	237	671
471	238	670
472	238	669
473	239	669
474	239	668
475	240	668
476	240	667
477	241	667
478	241	666
479	242	665
480	242	665
481	243	664
482	244	667
483	245	667
484	246	667
485	246	667
486	247	666
487	247	666
488	248	665
489	248	665
490	249	664
491	250	664
492	250	664
493	251	664
494	251	664
495	252	663
496	253	663
497	253	663
498	254	662
499	254	662
500	255	661
501	255	661
502	256	660
503	256	660
504	257	659
505	257	659
506	258	658
507	258	657
508	259	657
509	259	656
510	260	656
511	260	655
512	261	655
513	261	655
514	262	654
515	263	654
516	263	653
517	263	653
518	264	652
519	264	651
520	265	651
521	265	650
522	266	650
523	266	649
524	267	648
525	267	648
526	268	647
527	268	646
528	268	646
529	269	645
530	269	644
531	270	644
532	270	643
533	271	643
534	271	642
535	272	642
536	272	641
537	273	640
538	273	640
539	274	639
540	274	638
541	275	638
542	275	638
543	276	638
544	276	637
545	277	637
546	278	636
547	278	636
548	279	636
549	279	635
550	280	635
551	280	634
552	281	633
553	281	633
554	282	633
555	282	632
556	283	631
557	283	631
558	284	630
559	284	630
560	285	629
561	285	629
562	286	628
563	286	628
564	287	627
565	287	626
566	287	626
567	288	625
568	288	625
569	289	624
570	289	624
571	290	623
572	290	623
573	291	622
574	292	622
575	292	621
576	293	621
577	293	620
578	294	620
579	295	621
580	295	620
581	296	620
582	296	619
583	297	618
584	297	618
585	298	618
586	298	617
587	299	617
588	299	616
589	300	615
590	300	615
591	301	614
592	301	614
593	302	613
594	302	612
595	302	612
596	303	611
597	303	610
598	304	610
599	304	609
600	305	609
601	305	608
602	306	607
603	306	607
604	307	606
605	307	605
606	307	605
607	308	604
608	308	604
609	309	603
610	309	603
611	310	602
612	311	602
613	311	601
614	312	601
615	312	600
616	312	600
617	313	599
618	313	598
619	314	598
620	315	598
621	315	598
622	316	597
623	316	597
624	317	596
625	317	595
626	318	595
627	318	594
628	319	594
629	319	593
630	319	592
631	320	592
632	320	591
633	321	591
634	321	590
635	322	590
636	323	589
637	323	589
638	324	588
639	324	588
640	325	587
641	325	587
642	326	587
643	326	586
644	327	586
645	328	585
646	328	585
647	329	584
648	329	584
649	330	583
650	330	583
651	331	582
652	331	582
653	332	581
654	332	581
655	333	580
656	333	580
657	334	579
658	334	579
659	335	578
660	335	578
661	336	577
662	336	577
663	338	578
664	338	578
665	339	577
666	339	577
667	340	576
668	340	576
669	341	575
670	341	575
671	342	574
672	342	573
673	343	573
674	343	572
675	344	572
676	344	571
677	345	571
678	345	570
679	346	570
680	346	569
681	347	569
682	347	568
683	348	567
684	348	567
685	349	567
686	350	568
687	351	567
688	352	568
689	353	568
690	354	568
691	355	568
692	355	568
693	356	567
694	356	567
695	357	567
696	358	566
697	358	566
698	359	565
699	359	565
700	360	564
701	360	564
702	361	564
703	362	563
704	362	563
705	363	563
706	364	562
707	364	562
708	365	562
709	366	561
710	366	561
711	367	561
712	367	560
713	368	560
714	369	560
715	369	559
716	370	559
717	371	559
718	371	558
719	372	558
720	372	558
721	373	557
722	374	557
723	374	556
724	375	556
725	375	556
726	376	555
727	376	555
728	377	554
729	378	554
730	378	554
731	379	553
732	380	553
733	380	552
734	381	552
735	381	551
736	382	551
737	382	550
738	383	550
739	384	550
740	384	549
741	385	549
742	385	548
